"id","sentiment"
"12311_10",0.997611
"8348_2",0.0856366
"5828_4",0.89762
"7186_2",0.0810742
"12128_7",0.990524
"2913_8",0.824918
"4396_1",0.0511644
"395_2",0.476348
"10616_1",0.00148439
"9074_9",0.879578
"9252_3",0.370372
"9896_9",0.670351
"574_4",0.537118
"11182_8",0.833678
"11656_4",0.264746
"2322_4",0.178873
"8703_1",0.216531
"7483_1",0.245514
"6007_10",0.99144
"12424_4",0.0752284
"4672_1",0.0164875
"10841_3",0.0457653
"8954_7",0.274885
"7392_1",0.841842
"10288_8",0.997032
"5343_4",0.0103641
"4950_1",0.00213529
"9257_4",0.658093
"8689_3",0.311345
"4480_2",0.0282648
"9286_10",0.901678
"12245_10",0.986631
"7529_7",0.925268
"4_4",0.0034073
"5299_2",0.0143242
"12077_8",0.937385
"10701_2",0.062676
"11579_1",0.0368008
"10993_1",0.0247191
"8913_1",0.575325
"1350_3",0.194814
"3804_2",0.0202683
"5025_3",0.119229
"5170_8",0.911964
"8225_8",0.969457
"6427_7",0.983476
"3165_3",0.0460197
"7902_9",0.944124
"8208_3",0.00712411
"3577_8",0.959316
"4865_1",0.0270916
"9063_3",0.377613
"1106_1",0.186985
"1117_9",0.994021
"1050_4",0.402534
"10755_9",0.717671
"2729_8",0.756446
"10072_10",0.942617
"2904_7",0.978828
"4584_2",0.85627
"189_4",0.184816
"6302_4",0.15422
"8138_9",0.37212
"1262_1",0.101372
"2199_10",0.957607
"6551_7",0.788804
"8082_7",0.0311014
"4897_8",0.997757
"7360_1",0.0587534
"11012_10",0.998618
"12046_1",0.602254
"2331_2",0.600028
"8961_9",0.959755
"751_7",0.590073
"9884_10",0.606771
"10016_8",0.974558
"8023_10",0.306823
"2628_1",0.00948713
"5832_1",0.0216857
"7302_1",0.412387
"4501_3",0.403845
"1121_7",0.612004
"8334_3",0.521532
"9789_10",0.745714
"4230_10",0.975024
"824_4",0.126954
"6803_9",0.976621
"3086_7",0.997904
"1135_8",0.960784
"10136_1",0.0991152
"11129_3",0.00386759
"2072_8",0.517919
"9501_7",0.881118
"319_10",0.966984
"1693_7",0.923655
"10886_1",0.00664193
"9406_8",0.982077
"10376_10",0.391971
"9902_1",0.0126223
"9938_8",0.704246
"7080_9",0.855127
"11944_8",0.356929
"5249_1",0.00176913
"9599_2",0.108297
"9620_1",0.663881
"11244_1",0.102564
"6841_10",0.989146
"10050_4",0.711086
"10512_9",0.975972
"11327_3",0.0586839
"10681_8",0.901448
"808_3",0.190204
"546_7",0.995207
"10765_1",0.000447907
"7189_9",0.371843
"6005_9",0.85298
"11915_9",0.993197
"5740_10",0.810187
"7097_10",0.254817
"9573_10",0.815219
"5084_4",0.849297
"12332_7",0.214035
"8154_1",0.00686721
"5610_1",0.00289999
"5323_9",0.851279
"11034_8",0.780062
"3977_2",0.376487
"12380_7",0.0189458
"1737_8",0.72158
"6030_9",0.184101
"5918_7",0.925155
"7061_9",0.964632
"266_8",0.700251
"1375_10",0.943287
"8648_3",0.0116963
"10146_10",0.943264
"4578_10",0.982684
"4685_8",0.997484
"11843_9",0.947189
"5467_10",0.997356
"10140_10",0.909839
"7721_8",0.987005
"11208_10",0.176303
"1063_10",0.861572
"8260_10",0.10035
"3182_9",0.955056
"2797_8",0.924403
"7613_2",0.857713
"11624_4",0.285579
"4847_10",0.990747
"10684_7",0.967663
"6312_1",0.663393
"4925_3",0.0860528
"4125_1",0.00286995
"2394_10",0.999782
"12105_10",0.995097
"7812_1",0.0143039
"1061_8",0.787644
"9343_3",0.20759
"7696_10",0.998238
"9355_10",0.990362
"782_9",0.995058
"9882_10",0.995595
"10642_10",0.990509
"7410_2",0.0342833
"9591_4",0.0188086
"11902_3",0.17194
"3495_7",0.247397
"6733_1",0.0267673
"4552_1",0.00671911
"6722_1",0.0710132
"188_10",0.984385
"5099_10",0.982445
"10313_1",0.0534472
"6756_9",0.988714
"6622_2",0.0321077
"4807_10",0.998044
"7173_3",0.16987
"11321_8",0.890582
"7909_9",0.895549
"8012_7",0.133646
"8615_4",0.0813089
"8117_10",0.916354
"1892_10",0.749983
"4617_1",0.109458
"1893_8",0.85457
"5435_1",0.0706463
"162_3",0.185248
"6516_10",0.966412
"11588_7",0.955482
"2006_1",0.0058849
"1594_4",0.148863
"1472_1",0.00784879
"3647_1",0.822291
"174_7",0.880331
"5539_7",0.111341
"3384_10",0.995008
"3811_4",0.542153
"4079_8",0.801014
"1179_7",0.605945
"3069_9",0.999499
"3769_8",0.950132
"9247_10",0.845417
"10434_1",0.00312749
"1147_10",0.825994
"5344_7",0.955016
"8073_10",0.975683
"7833_3",0.00417814
"8370_1",0.0337842
"9007_8",0.0478861
"6624_7",0.492282
"6683_3",0.0330062
"12275_7",0.450888
"11927_8",0.699735
"1560_10",0.96168
"1325_9",0.517998
"3548_8",0.203861
"607_1",0.00128785
"6702_7",0.540295
"5702_3",0.0168525
"11345_8",0.955013
"3428_4",0.0908597
"7209_9",0.991373
"8425_8",0.93742
"3087_1",0.103573
"1119_8",0.98288
"5715_3",0.382676
"8645_1",0.147012
"2149_3",0.0118448
"10403_10",0.491532
"5628_1",0.00518753
"5570_10",0.9958
"1613_3",0.0132542
"1454_4",0.780701
"5094_3",0.0454456
"7982_1",0.0424401
"6894_2",0.735313
"6554_1",0.0233501
"4721_3",0.317311
"6904_4",0.0173471
"893_8",0.506078
"4605_4",0.401005
"11516_7",0.163597
"11718_7",0.997462
"5956_1",0.0140722
"7455_9",0.994416
"6396_4",0.40896
"1223_8",0.972621
"8556_1",0.0163376
"6108_8",0.733868
"11690_1",0.024895
"3778_9",0.867825
"3627_4",0.156801
"8256_4",0.158762
"533_1",0.0011437
"5235_4",0.0567704
"621_2",0.26314
"5365_1",0.794801
"8180_3",0.882582
"7396_7",0.211195
"9776_10",0.963669
"8175_10",0.972636
"3128_1",0.0861801
"4606_1",0.0384749
"6158_2",0.0185982
"3281_10",0.990811
"4723_4",0.0239519
"11994_3",0.0403603
"7701_1",0.0290032
"103_3",0.487051
"8908_10",0.998691
"8876_1",0.0404743
"7519_9",0.946446
"12456_8",0.412198
"9514_8",0.855656
"8680_8",0.371917
"12402_10",0.898341
"362_2",0.00830432
"9825_7",0.764007
"2913_3",0.150436
"7164_8",0.841107
"11177_7",0.991501
"5707_10",0.997391
"8103_10",0.864882
"6289_1",0.0532489
"11754_1",0.608359
"11640_10",0.989131
"9933_7",0.943782
"185_10",0.985215
"242_10",0.992238
"9369_8",0.921354
"7453_10",0.881737
"7514_7",0.737643
"10860_2",0.0451394
"8663_8",0.313746
"9108_1",0.0797852
"7941_1",0.0600266
"10116_1",0.000491262
"9841_4",0.55008
"4512_9",0.892681
"4853_2",0.0501956
"2664_4",0.68917
"9966_10",0.732089
"5167_2",0.0313071
"3894_2",0.0507812
"3929_8",0.870129
"7165_10",0.872702
"5451_8",0.779739
"2947_4",0.820816
"4611_10",0.932082
"5807_1",0.387921
"9464_8",0.889427
"3124_10",0.695177
"2705_4",0.418739
"12187_8",0.972914
"12319_10",0.902063
"9874_3",0.835086
"3406_4",0.306719
"2327_10",0.973757
"605_10",0.929863
"8080_4",0.131769
"3074_10",0.981845
"2499_3",0.113494
"1013_1",0.726503
"11535_1",0.00635976
"4118_7",0.714121
"10492_8",0.98068
"2129_4",0.041084
"9814_10",0.393052
"10671_9",0.689
"5980_10",0.974371
"2755_2",0.0945298
"5461_2",0.584422
"11979_1",0.565729
"8810_1",0.0258256
"852_7",0.933796
"10961_4",0.0416524
"7436_4",0.11056
"11281_3",0.386669
"4208_3",0.294544
"8213_10",0.966402
"9851_2",0.146175
"4713_7",0.878253
"9528_1",0.968883
"3595_10",0.994795
"5785_3",0.789623
"10370_3",0.0095039
"1980_3",0.589628
"8800_4",0.302439
"4437_3",0.320372
"28_3",0.0735513
"12171_1",0.0488157
"9359_3",0.356271
"3831_9",0.994459
"10962_7",0.980494
"1500_9",0.872677
"11470_10",0.849601
"11843_3",0.0164661
"11200_4",0.730286
"1067_1",0.00289517
"3333_1",0.0246878
"4487_4",0.87327
"6428_1",0.00821881
"575_7",0.0251614
"10904_9",0.544437
"11821_2",0.47566
"11605_1",0.15921
"1111_7",0.438658
"10295_1",0.427196
"1146_4",0.226062
"2405_9",0.768739
"11081_10",0.972376
"2201_10",0.99928
"4844_1",0.326283
"11007_8",0.891481
"6535_7",0.933227
"2653_4",0.392391
"8245_10",0.788475
"9951_8",0.904489
"6133_8",0.0782211
"10006_2",0.00596274
"7350_1",0.549187
"4509_9",0.9994
"948_1",0.0324582
"3987_1",0.0430704
"2947_10",0.103458
"6041_3",0.0067385
"2946_1",0.0516113
"11967_4",0.00229088
"1185_10",0.978652
"10323_2",0.691045
"11706_2",0.0032175
"3663_1",0.0503872
"5602_10",0.999021
"4870_10",0.93616
"1994_1",0.457557
"10807_7",0.867991
"6871_3",0.989189
"1175_2",0.00385502
"10919_7",0.98441
"8127_10",0.83211
"12497_4",0.428448
"3274_1",0.811125
"2568_3",0.0311743
"840_2",0.0527616
"5626_10",0.996033
"7561_10",0.996975
"4600_3",0.491554
"3324_9",0.470543
"8899_7",0.943506
"5592_8",0.709194
"12483_4",0.0187313
"7874_1",0.00569002
"5878_10",0.349851
"4303_9",0.612365
"9421_1",0.00163892
"10269_4",0.686574
"10615_2",0.318295
"2634_10",0.894926
"7522_1",0.0286282
"9289_10",0.974504
"4636_10",0.816232
"1241_7",0.354853
"9458_9",0.656124
"11690_10",0.978787
"7176_4",0.355212
"6212_10",0.986404
"6319_1",0.130191
"5229_3",0.0646837
"466_9",0.999431
"8693_2",0.264255
"2952_10",0.999514
"1128_1",0.228756
"3975_10",0.800582
"11365_10",0.813619
"2074_9",0.784224
"9768_10",0.987991
"4895_1",0.0746641
"5726_10",0.95284
"9993_10",0.983109
"11319_2",0.678377
"10561_2",0.335178
"5455_8",0.919335
"10684_3",0.182434
"3652_3",0.0899957
"7825_1",0.284713
"8806_1",0.00244292
"275_10",0.944552
"2246_1",0.0112154
"11968_2",0.043468
"2528_1",0.24967
"8491_8",0.86486
"13_1",0.244128
"4530_8",0.71817
"5207_3",0.0510414
"11648_10",0.820135
"8260_1",0.0237755
"10730_10",0.975468
"10402_3",0.141728
"8077_1",0.00536937
"8598_8",0.823369
"2809_3",0.00456832
"12490_10",0.994885
"1447_9",0.987797
"1605_3",0.103357
"2311_4",0.0280823
"3235_9",0.806386
"5725_10",0.855183
"9025_10",0.967098
"6049_9",0.737586
"4803_10",0.9513
"191_9",0.987218
"420_3",0.863616
"5238_2",0.19332
"1280_9",0.924388
"9408_4",0.15693
"819_1",0.000396744
"1656_4",0.0772627
"9964_3",0.118973
"10404_4",0.827119
"12369_10",0.995478
"6423_1",0.00635282
"9942_8",0.481841
"1519_1",0.0243803
"100_10",0.97735
"3216_10",0.929644
"3909_10",0.692837
"5034_7",0.971999
"14_8",0.996204
"5891_3",0.00922341
"8496_10",0.997966
"7429_1",0.0248061
"9457_1",0.00181279
"9602_8",0.859113
"4198_1",0.00730098
"154_2",0.176489
"5070_2",0.0459661
"4207_8",0.421588
"7758_8",0.968763
"4439_9",0.98371
"12042_1",0.0103731
"7244_1",0.00365378
"6854_1",0.0839593
"11932_10",0.983754
"4151_10",0.994447
"7265_1",0.0478804
"10272_7",0.994962
"4256_4",0.224256
"1225_7",0.916709
"956_10",0.999178
"6389_2",0.0490342
"1365_4",0.15268
"4752_7",0.760624
"276_10",0.981326
"8766_9",0.954034
"11225_10",0.986545
"6920_1",0.00136065
"11536_1",0.0213643
"1923_9",0.830137
"11460_10",0.845321
"10054_7",0.964333
"10845_1",0.00102828
"10231_4",0.702962
"9430_8",0.931381
"3226_2",0.0063774
"4298_3",0.20265
"10635_4",0.0733807
"10567_4",0.0335144
"5460_10",0.968157
"7310_7",0.974477
"10330_2",0.0315178
"5151_9",0.922501
"11_3",0.703831
"1448_8",0.337826
